CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595658253, 's': 'ETHUSDT', 'a': 110412940, 'p': '245.04000000', 'q': '0.04563000', 'f': 125734630, 'l': 125734630, 'T': 1583595658251, 'm': True, 'M': True}",07/03/2020 18:40:58
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595658415, 's': 'ETHUSDT', 'a': 110412941, 'p': '245.05000000', 'q': '0.08000000', 'f': 125734631, 'l': 125734631, 'T': 1583595658413, 'm': False, 'M': True}",07/03/2020 18:40:58
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595660189, 's': 'ETHUSDT', 'a': 110412942, 'p': '245.05000000', 'q': '0.17700000', 'f': 125734632, 'l': 125734632, 'T': 1583595660187, 'm': False, 'M': True}",07/03/2020 18:41:00
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595661063, 's': 'ETHUSDT', 'a': 110412943, 'p': '245.04000000', 'q': '4.06367000', 'f': 125734633, 'l': 125734634, 'T': 1583595661061, 'm': True, 'M': True}",07/03/2020 18:41:01
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595661221, 's': 'ETHUSDT', 'a': 110412944, 'p': '245.04000000', 'q': '0.00001000', 'f': 125734635, 'l': 125734635, 'T': 1583595661219, 'm': True, 'M': True}",07/03/2020 18:41:01
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595661221, 's': 'ETHUSDT', 'a': 110412945, 'p': '245.03000000', 'q': '6.01876000', 'f': 125734636, 'l': 125734638, 'T': 1583595661219, 'm': True, 'M': True}",07/03/2020 18:41:01
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595661221, 's': 'ETHUSDT', 'a': 110412946, 'p': '245.02000000', 'q': '0.10000000', 'f': 125734639, 'l': 125734639, 'T': 1583595661219, 'm': True, 'M': True}",07/03/2020 18:41:01
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595661423, 's': 'ETHUSDT', 'a': 110412947, 'p': '245.01000000', 'q': '43.12301000', 'f': 125734640, 'l': 125734642, 'T': 1583595661421, 'm': True, 'M': True}",07/03/2020 18:41:01
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595661555, 's': 'ETHUSDT', 'a': 110412948, 'p': '245.01000000', 'q': '0.67778000', 'f': 125734643, 'l': 125734643, 'T': 1583595661553, 'm': True, 'M': True}",07/03/2020 18:41:01
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595661658, 's': 'ETHUSDT', 'a': 110412949, 'p': '245.02000000', 'q': '0.16000000', 'f': 125734644, 'l': 125734644, 'T': 1583595661655, 'm': False, 'M': True}",07/03/2020 18:41:01
CryptoCoin,Price,Date
Ethereum,"{'e': 'aggTrade', 'E': 1583595663478, 's': 'ETHUSDT', 'a': 110412950, 'p': '245.03000000', 'q': '0.10000000', 'f': 125734645, 'l': 125734645, 'T': 1583595663476, 'm': False, 'M': True}",07/03/2020 18:41:03
CryptoCoin,Price,Date
